nickname,teams,player_id,age,country,rating
swag,"Swole Patrol, Torqued, iBUYPOWER, Lazarus",5021.0,25.0,United States,1.1
HEN1,"Immortals, FURIA, Luminosity",8565.0,27.0,Brazil,1.1
ekul,"Paradox, SYF",14505.0,27.0,Australia,1.14
Ax1Le,"Gambit Youngsters, Gambit",16555.0,20.0,Russia,1.16
nython,"RED Canids, Paquetá, paiN",18743.0,24.0,Brazil,1.14
aliStair,"ORDER, Chiefs, Renegades",11139.0,24.0,Australia,1.14
moose,"eUnited, Rise Nation",12271.0,24.0,Canada,1.14
xccurate,"TYLOO, Recca, BTRG, NKT",10263.0,24.0,Indonesia,1.09
mixwell,"OpTic, Movistar Riders",8370.0,26.0,Spain,1.09
allu,"ENCE, NIP, FaZe",695.0,30.0,Finland,1.09
electroNic,"Natus Vincere, FlipSid3",8918.0,23.0,Russia,1.09
Spinx,"ENCE, c0ntact",18221.0,21.0,Israel,1.13
syrsoN,"BIG, ALTERNATE aTTaX, Sprout",7266.0,26.0,Germany,1.09
PwnAlone,"Party Astronauts, New England Whalers, High Coast",15090.0,31.0,United States,1.14
GeT_RiGhT,NIP,39.0,32.0,Sweden,1.09
JUGi,"Heroic, OpTic, Tricked, North",8783.0,25.0,Denmark,1.09
gas,"Wings Up, LGD, EDG, Aster",10722.0,26.0,China,1.12
biguzera,paiN,18141.0,25.0,Brazil,1.16
lollipop21k,"Nemiga, GoodJob",13980.0,26.0,Belarus,1.14
Cooper,"Swole Patrol, eUnited, Triumph",15007.0,28.0,United States,1.12
Calyx,"Space Soldiers, Eternal Fire, DarkPassage",8575.0,24.0,Turkey,1.09
Sonic,"Bravado, Extra Salt, Cloud9",8711.0,23.0,South Africa,1.09
zehN,"HAVU, GODSENT, PENTA, FunPlus Phoenix",1378.0,30.0,Finland,1.09
ryx,"Echo Fox, Splyce, Ghost, Dignitas, Tempo Storm, Conquest",9042.0,29.0,United States,1.09
BL1TZ,"Chiefs, Legacy, AVANT, Funky Monkeys",12715.0,29.0,Australia,1.1
NAF,"Liquid, OpTic",8520.0,24.0,Canada,1.09
ZOREE,"HAVU, iGame.com, SJ",8576.0,28.0,Finland,1.09
ScreaM,"Envy, G2, Titan, VeryGames",7390.0,28.0,Belgium,1.09
hades,"ENCE, Wisla Krakow",16848.0,22.0,Poland,1.11
dennyslaw,SKADE,13466.0,22.0,Bulgaria,1.12
EliGE,Liquid,8738.0,25.0,United States,1.09
floppy,"Cloud9, Singularity",12713.0,22.0,United States,1.15
nex,"BIG, MOUZ",7256.0,30.0,Germany,1.09
cynic,"Gaimin Gladiators, Party Astronauts, Triumph",16546.0,22.0,United States,1.14
valde,"North, OG, Heroic",9031.0,27.0,Denmark,1.09
hazr,"AVANT, Looking For Org, Breakaway, Dire Wolves",14294.0,20.0,Australia,1.14
nukkye,"Imperial, HellRaisers, NoChance",13679.0,24.0,Lithuania,1.12
faveN,"Sprout, EURONICS",14932.0,22.0,Germany,1.13
mezii,"fnatic, Endpoint, GamerLegion, Cloud9, Vexed",18462.0,23.0,United Kingdom,1.14
fer,"SK, MIBR, Luminosity",8564.0,30.0,Brazil,1.08
Farlig,"Astralis, Copenhagen Flames, FunPlus Phoenix, GODSENT",13300.0,23.0,Denmark,1.1
JOTA,"MIBR, Bravos, Keyd",17861.0,24.0,Brazil,1.15
k0nfig,"Dignitas, OpTic, Complexity, North",9078.0,25.0,Denmark,1.08
dupreeh,"Astralis, TSM",7398.0,29.0,Denmark,1.08
Savage,"VG.CyberZen, ViCi, CyberZen, 5POWER",180.0,33.0,China,1.08
Attacker,"TYLOO, Flash",8552.0,25.0,China,1.08
dexter,"MOUZ, Grayhound, Renegades",9115.0,27.0,Australia,1.08
DJOXiC,"Binary Dragons, iNation, Valiance",3543.0,29.0,Serbia,1.08
Detrony,Bravado,7993.0,31.0,South Africa,1.08
Machinegun,"TheMongolz, Mazaalai",9247.0,32.0,Mongolia,1.08
Magisk,"Astralis, SK, Dignitas",9032.0,24.0,Denmark,1.08
draken,"Epsilon, NIP, Red Reserve",9255.0,26.0,Sweden,1.08
keev,"ALTERNATE aTTaX, BIG, KILLERFISH",5799.0,30.0,Germany,1.08
felps,"SK, GODSENT, Immortals, Tempo Storm",9219.0,25.0,Brazil,1.08
sergej,"GORILLAZ, ENCE, HAVU",11916.0,20.0,Finland,1.13
pz,"VERTEX, TRUCKERS WITH ATTITUDE, Airborne",18736.0,22.0,Australia,1.12
ShahZaM,"Complexity, Misfits, Echo Fox, Conquest, OpTic",7810.0,28.0,United States,1.08
exit,"MIBR, Sharks",11154.0,25.0,Brazil,1.12
Summer,"TYLOO, Flash",7028.0,25.0,China,1.08
Hatz,"ORDER, Renegades, Kings",11162.0,24.0,Australia,1.14
jayzaR,"Valiance, Enyoy",8555.0,25.0,Sweden,1.08
MICHU,"Virtus.pro, Kinguin, CSGL",7356.0,25.0,Poland,1.08
Ryxxo,"Tricked, Singularity",8848.0,25.0,Denmark,1.08
FL1T,forZe,12732.0,21.0,Russia,1.13
hAdji,"LDLC, EnVyUs Academy",9656.0,26.0,France,1.08
Rickeh,"ORDER, CLG, Rogue",8745.0,30.0,Australia,1.07
nicoodoz,Copenhagen Flames,13602.0,21.0,Denmark,1.1
ptr,"Bad News Bears, NRG, Complexity",8707.0,32.0,United States,1.07
dapr,eUnited,11586.0,23.0,United States,1.13
NaToSaphiX,"Sprout, Nordavind",9294.0,25.0,Denmark,1.07
meyern,"Furious, MIBR, Isurus, Sharks",14737.0,19.0,Argentina,1.11
junior,"Triumph, Bad News Bears, Complexity, FURIA",14494.0,21.0,United States,1.1
iDISBALANCE,"Nemiga, Spirit",14273.0,25.0,Russia,1.13
autimatic,"Cloud9, Gen.G",8735.0,25.0,United States,1.07
YEKINDAR,"pro100, Virtus.pro, EPG",13915.0,22.0,Latvia,1.14
Impulse,"Valiance, ONYX, lvlUP, RESISTANCE",12379.0,26.0,Serbia,1.11
jks,"Renegades, Complexity, 100 Thieves",4679.0,26.0,Australia,1.07
Liazz,"ORDER, Renegades, 100 Thieves, Kings, Athletico, EXTREMUM",10588.0,24.0,Australia,1.07
smike,"spray'n'pray, pro100, ACG, eXplosive, k1ck",8526.0,24.0,Ukraine,1.07
shox,"G2, Vitality, Envy",1225.0,30.0,France,1.07
anarkez,"Finest, Secret",11815.0,22.0,Israel,1.11
hallzerk,"Dignitas, Nordavind",12840.0,22.0,Norway,1.1
broky,"FaZe, Epsilon",18053.0,21.0,Latvia,1.1
xand,"INTZ, Yeah",9218.0,27.0,Brazil,1.07
paz,"Space Soldiers, Sangal",9353.0,25.0,Turkey,1.07
slaxz-,"Sprout, ALTERNATE aTTaX",15370.0,23.0,Germany,1.11
CRUC1AL,"Endpoint, Epsilon",7996.0,25.0,Netherlands,1.07
fejtZ,"SMASH, ArchAngels",7910.0,24.0,Estonia,1.07
InfrequeNt,"Athletico, Tainted Minds, Chiefs",10587.0,27.0,Australia,1.07
EspiranTo,"Imperial, Valiance, CR4ZY, c0ntact",12030.0,21.0,Lithuania,1.11
WorldEdit,"FlipSid3, pro100, Winstrike",7403.0,30.0,Russia,1.07
