nickname,teams,Unnamed: 0,player_id,age,country,rating
string,string,continuous,continuous,continuous,ARG AUS BEL BGR BIH BLR BRA CAN CHE CHN CZE DEU DNK ESP EST FIN FRA GBR GTM HKG HUN IDN ISR JOR KAZ KOR LTU LVA MEX MKD MNE MNG MYS NLD NOR NZL POL PRT ROU RUS SGP SRB SVK SWE THA TUR TWN UKR URY USA UZB XKX ZAF,continuous
boltz,"Immortals, Luminosity, SK, MIBR",165.0,8568.0,25.0,BRA,1.07
HObbit,"Gambit, Winstrike",166.0,8528.0,28.0,KAZ,1.07
Brollan,"fnatic, GODSENT",167.0,13666.0,20.0,SWE,1.12
DD,"TYLOO, OneThree",168.0,7026.0,27.0,CHN,1.07
roeJ,"Copenhagen Flames, MAD Lions, Tricked",169.0,14419.0,28.0,DNK,1.15
dycha,"ENCE, Sprout, Aristocracy",170.0,16080.0,24.0,POL,1.12
NikoM,"TeamOne, Isurus, DETONA",171.0,10504.0,25.0,ARG,1.06
FalleN,"SK, MIBR, Luminosity",172.0,2023.0,31.0,BRA,1.06
snatchie,"AGO, Virtus.pro, Sprout",173.0,9574.0,24.0,POL,1.06
shz,"Luminosity, Imperial, MIBR, INTZ, BOOM",174.0,11739.0,24.0,BRA,1.1
chelo,"MIBR, INTZ, Luminosity",175.0,10566.0,24.0,BRA,1.06
hardzao,"paiN, DETONA",176.0,16817.0,21.0,BRA,1.11
fame,"K23, SG.pro",177.0,20101.0,19.0,RUS,1.11
ofnu,"Tainted Minds, Chiefs, AVANT, Winterfox",178.0,8767.0,29.0,NZL,1.06
AnJ,"NRG, Singularity, Tricked",179.0,9317.0,27.0,DNK,1.06
Ethan,"NRG, CLG, Evil Geniuses",180.0,10671.0,22.0,USA,1.14
flameZ,"OG, Endpoint",181.0,16693.0,19.0,ISR,1.12
b1t,"Natus Vincere, NAVI Junior",182.0,18987.0,19.0,UKR,1.12
zhokiNg,"ViCi, VG.CyberZen",183.0,8601.0,28.0,CHN,1.06
SHiPZ,"SKADE, Windigo",184.0,11343.0,21.0,BGR,1.11
Happy,"Envy, LDLC",185.0,7429.0,30.0,FRA,1.06
acoR,"Tricked, North Academy, MAD Lions, MOUZ",186.0,10330.0,25.0,DNK,1.06
NikkeZ,"Ground Zero, Athletico",187.0,9676.0,27.0,AUS,1.06
COLDYY1,Spirit,188.0,9083.0,30.0,UKR,1.06
b4rtiN,"TeamOne, GODSENT",189.0,17585.0,20.0,BRA,1.1
rigoN,"Bad News Eagles, BLINK, c0ntact",190.0,12708.0,22.0,CHE,1.1
Skadoodle,Cloud9,191.0,7440.0,29.0,USA,1.06
flying,Invictus,192.0,16872.0,21.0,CHN,1.09
pancc,"W7M, Sharks",193.0,16314.0,24.0,BRA,1.11
Maka,"Heretics, LDLC, 3DMAX",194.0,13138.0,25.0,FRA,1.1
koosta,"CLG, Ghost, Gen.G, Enemy",195.0,9056.0,26.0,USA,1.06
Valiance,"ORDER, Paradox",196.0,16323.0,21.0,AUS,1.1
tucks,Chiefs,197.0,9108.0,25.0,AUS,1.06
TOR,"Signature, Beyond",198.0,9288.0,29.0,THA,1.06
olofmeister,"fnatic, FaZe",199.0,885.0,30.0,SWE,1.06
suNny,"ENCE, MOUZ, PENTA",200.0,5479.0,27.0,FIN,1.06
malbsMd,"TeamOne, Infinity",201.0,11617.0,19.0,GTM,1.1
Gratisfaction,"Grayhound, Renegades, 100 Thieves, Immunity, EXTREMUM",202.0,9686.0,26.0,NZL,1.05
shalfey,"forZe, Unique, Dracarys",203.0,17011.0,20.0,RUS,1.11
SLOWLY,"TYLOO, EHOME",204.0,15683.0,20.0,CHN,1.11
nexa,"G2, Valiance, Imperial",205.0,9618.0,25.0,SRB,1.05
rallen,"Kinguin, AGO",206.0,5388.0,28.0,POL,1.05
Rainwaker,SKADE,207.0,17145.0,21.0,BGR,1.1
bottle,"Born Of Fire, Eclipse, Invictus, 5POWER, CyberZen",208.0,10168.0,28.0,CHN,1.05
remix,"Liberty, Redemption POA, UNO MILLE",209.0,2544.0,28.0,BRA,1.07
ISSAA,"HellRaisers, OG",210.0,10449.0,25.0,JOR,1.05
JW,fnatic,211.0,3849.0,27.0,SWE,1.05
Sobol,"PACT, Wisla Krakow",212.0,15940.0,24.0,POL,1.09
afro,"HEET, DBL PONEY, LDLC",213.0,19926.0,23.0,FRA,1.08
iM,"GamerLegion, Nexus",214.0,14759.0,23.0,ROU,1.11
Ramz1kBO$$,"Tengri, Syman",215.0,11842.0,22.0,KAZ,1.09
HZ,"TYLOO, CyberZen, AllGamers",216.0,7016.0,32.0,CHN,1.05
Marcelious,"Apeks, 777, NOREG",217.0,14602.0,23.0,NOR,1.08
cajunb,"North, TSM, OpTic, Dignitas",218.0,2469.0,32.0,DNK,1.05
tabseN,"BIG, PENTA, MOUZ",219.0,5794.0,27.0,DEU,1.05
zeph,"ORDER, Chiefs, Ground Zero",220.0,13054.0,20.0,AUS,1.11
mou,"Gambit, K23, HellRaisers, Syman",221.0,964.0,30.0,KAZ,1.05
stavn,"Heroic, Fragsters",222.0,10994.0,20.0,DNK,1.12
REDSTAR,"Fiend, Bpro",223.0,15369.0,20.0,BGR,1.1
KRIMZ,fnatic,224.0,7528.0,28.0,SWE,1.05
KEi,"AVEZ, Anonymo, Sprout",225.0,17504.0,21.0,POL,1.12
TeSeS,"Heroic, Copenhagen Flames",226.0,12018.0,21.0,DNK,1.11
yay,"Complexity, Orgless",227.0,8513.0,23.0,USA,1.05
FASHR,"ECSTATIC, Lyngby Vikings, Defusekids",228.0,11954.0,26.0,NLD,1.11
juanflatroo,"Bad News Eagles, BLINK, Secret",229.0,17147.0,25.0,XKX,1.1
sdy,Spirit,230.0,12731.0,25.0,UKR,1.1
SicK,"Rogue, Misfits, TSM",231.0,9258.0,23.0,USA,1.05
NEEX,"Izako Boars, ESC",232.0,8543.0,25.0,POL,1.05
Aerial,"HAVU, ENCE",233.0,4076.0,29.0,FIN,1.11
loWel,"Movistar Riders, PENTA, MOUZ",234.0,3997.0,25.0,ESP,1.05
nin9,"TIGER, Renewal, Mazaalai, IHC",235.0,15072.0,24.0,MNG,1.09
raafa,"W7M, Keyd",236.0,11748.0,28.0,BRA,1.07
Grim,"Liquid, Triumph, Dignitas, Spacestation",237.0,13578.0,21.0,USA,1.1
Zellsis,"Swole Patrol, Lazarus",238.0,13188.0,24.0,USA,1.11
Qikert,"AVANGAR, Virtus.pro",239.0,13239.0,23.0,KAZ,1.11
Flarich,"HellRaisers, pro100",240.0,11250.0,25.0,LVA,1.07
rommi,"Spirit Academy, HOLLYWOOD, PLINK, 1337",241.0,10589.0,29.0,RUS,1.05
WolfY,"ECSTATIC, Lyngby Vikings, Secret Club",242.0,12937.0,23.0,USA,1.08
MarKE,"Extra Salt, eUnited, Swole Patrol",243.0,10892.0,24.0,MEX,1.12
cadiaN,"Heroic, Rogue, SK",244.0,7964.0,27.0,DNK,1.04
Lucky,"Tricked, Astralis",245.0,13843.0,19.0,DNK,1.07
refrezh,"Fragsters, Heroic, Copenhagen Flames, Tricked, OpTic",246.0,10610.0,24.0,DNK,1.08
DavCost,"INDE IRAE, Spirit, 1WIN",247.0,8124.0,26.0,RUS,1.04
malta,"Grayhound, Chiefs, Renegades",248.0,11485.0,26.0,AUS,1.1
Kjaerbye,"North, Dignitas, Astralis",249.0,8394.0,24.0,DNK,1.04
Bwills,"Triumph, Infamous",250.0,16647.0,21.0,USA,1.1
jkaem,"Apeks, Renegades, FaZe, 100 Thieves",251.0,8248.0,28.0,NOR,1.04
flusha,fnatic,252.0,3055.0,28.0,SWE,1.04
Snakes,"Spacestation, The Quest, SoaR",253.0,13229.0,20.0,USA,1.09
zewsy,"Tainted Minds, Chiefs, Winterfox",254.0,8764.0,25.0,NZL,1.04
Swahn,"iNTACT, Bad News Bears, Detonate, Bushido Boyz",255.0,15255.0,24.0,USA,1.08
STOMP,"x-kom, Izako Boars, Illuminar, HONORIS",256.0,12699.0,27.0,POL,1.09
aumaN,ViCi,257.0,8604.0,28.0,CHN,1.04
n0rb3r7,"K23, Winstrike, Syman",258.0,16612.0,21.0,RUS,1.09
motm,"ATK, Cloud9",259.0,13230.0,22.0,USA,1.09
Hiko,"Liquid, Rogue",260.0,2644.0,32.0,USA,1.04
Geniuss,"Signature, Beyond, Lucid Dream",261.0,12564.0,24.0,THA,1.11
Snax,"Virtus.pro, Anonymo",262.0,2553.0,29.0,POL,1.04
HSK,"MVP PK, MVP Project, GOSU",263.0,9174.0,27.0,KOR,1.04
Bubzkji,"Tricked, Fragsters, MAD Lions, Astralis",264.0,9612.0,24.0,DNK,1.04
ANDROID,"Complexity, Envy",265.0,9043.0,28.0,CAN,1.04
KHTEX,"Paquetá, Wild, Virtue",266.0,10842.0,25.0,BRA,1.08
kabal,"5POWER, TheMongolz, TIGER",267.0,10870.0,27.0,MNG,1.09
LOVEYY,"Flash, VG.CyberZen, VG.Flash",268.0,8957.0,33.0,CHN,1.04
buster,"AVANGAR, Virtus.pro",269.0,11942.0,22.0,KAZ,1.09
fleav,"Budapest Five, GameAgents",270.0,12317.0,21.0,HUN,1.08
phzy,"Young Ninjas, NIP",271.0,16726.0,19.0,SWE,1.07
twist,"GODSENT, fnatic, NIP",272.0,7443.0,27.0,SWE,1.04
eraa,GamerLegion,273.0,16487.0,20.0,SWE,1.06
Lucaozy,"Sharks, DETONA, Reapers",274.0,18717.0,20.0,BRA,1.08
Davidp,"3DMAX, Heretics",275.0,8138.0,27.0,BEL,1.03
